,phrase,label,sentiment,subjectivity,language,count
the fourth Türkiye-Africa Partnership Summit,the fourth Türkiye-Africa Partnership Summit,EVENT,,,en,2
8pm,8pm,TIME,,,en,2
a few years,a few years,DATE,,,en,2
24,24,CARDINAL,,,en,2
CIS,CIS,NORP,,,en,2
podcast:1,podcast:1,PRODUCT,,,en,2
more than $1,more than $1,MONEY,,,en,2
June 3,June 3,DATE,,,en,2
40%,40%,PERCENT,,,en,2
Sunday Morning Photograph,Sunday Morning Photograph,TIME,,,en,2
at least 22,at least 22,CARDINAL,,,en,2
5.1bn,5.1bn,MONEY,,,en,2
+4131,+4131,NORP,,,en,2
the 2010s,the 2010s,DATE,,,en,2
$10m,$10m,MONEY,,,en,2
over 400,over 400,CARDINAL,,,en,2
Sikh,Sikh,NORP,,,en,2
Bavarian,Bavarian,NORP,,,en,2
1.25mg,1.25mg,QUANTITY,,,en,2
roughly half a billion dollars,roughly half a billion dollars,MONEY,,,en,2
"May 03, 2026 (GLOBE NEWSWIRE)","May 03, 2026 (GLOBE NEWSWIRE)",DATE,,,en,2
"June 4, 2026","June 4, 2026",DATE,,,en,2
37%,37%,PERCENT,,,en,2
each April,each April,DATE,,,en,2
Persian,Persian,NORP,,,en,2
the last five years,the last five years,DATE,,,en,2
35%,35%,PERCENT,,,en,2
Caspian,Caspian,NORP,,,en,2
Mashhad Airport,Mashhad Airport,FAC,,,en,2
Japans,Japans,NORP,,,en,2
the past four weeks,the past four weeks,DATE,,,en,2
early July,early July,DATE,,,en,2
the past seven days,the past seven days,DATE,,,en,2
500%,500%,PERCENT,,,en,2
at least 10,at least 10,CARDINAL,,,en,2
about 2 per cent,about 2 per cent,MONEY,,,en,2
three magical days,three magical days,DATE,,,en,2
Thousand-Year,Thousand-Year,DATE,,,en,2
27 April,27 April,DATE,,,en,2
$518m,$518m,MONEY,,,en,2
"9,782,000","9,782,000",MONEY,,,en,2
the Women's World Cup,the Women's World Cup,EVENT,,,en,2
"April 28, 2026","April 28, 2026",DATE,,,en,2
June 6,June 6,DATE,,,en,2
Valincius,Valincius,PRODUCT,,,en,2
"Approximately 3,000","Approximately 3,000",CARDINAL,,,en,2
Soldier Field,Soldier Field,FAC,,,en,2
The Weeknight,The Weeknight,WORK_OF_ART,,,en,2
Bond,Bond,FAC,,,en,2
O'Hare Airport,O'Hare Airport,FAC,,,en,2
"June 5, 2026 /PRNewswire/","June 5, 2026 /PRNewswire/",DATE,,,en,2
the Great Hall of the People,the Great Hall of the People,FAC,,,en,2
some $25 billion,some $25 billion,MONEY,,,en,2
104,104,CARDINAL,,,en,2
The FIFA World Cup,The FIFA World Cup,EVENT,,,en,2
the Humo Arena,the Humo Arena,FAC,,,en,2
"1,210","1,210",CARDINAL,,,en,2
"May 8, 2026","May 8, 2026",DATE,,,en,2
May 3,May 3,DATE,,,en,2
the final season,the final season,DATE,,,en,2
52,52,DATE,,,en,2
+1934,+1934,NORP,,,en,2
"April 1, 2026 /PRNewswire/","April 1, 2026 /PRNewswire/",DATE,,,en,2
Today |,Today |,DATE,,,en,2
Bessent,Bessent,NORP,,,en,2
April 14,April 14,DATE,,,en,2
the Iran war’s,the Iran war’s,EVENT,,,en,2
the past 24 hours,the past 24 hours,TIME,,,en,2
The Iran War,The Iran War,EVENT,,,en,2
F-35s,F-35s,CARDINAL,,,en,2
the Winter Olympics,the Winter Olympics,EVENT,,,en,2
at least 85 percent,at least 85 percent,PERCENT,,,en,2
Tabriz,Tabriz,NORP,,,en,2
