,phrase,label,sentiment,subjectivity,language,count
Big Tech,Big Tech,ORG,0.046875,0.09583333333333333,en,3
Zelenskyy,Zelenskyy,ORG,-0.03333333333333333,0.09999999999999999,en,3
Deivid Washington,Deivid Washington,ORG,0.08333333333333333,0.16666666666666666,en,3
Federal Security Service,Federal Security Service,ORG,0.05069444444444443,0.2796296296296297,en,3
SaaS,SaaS,ORG,0.04545454545454545,0.15151515151515152,en,3
DTM,DTM,ORG,0.16444444444444445,0.22444444444444447,en,3
Halkbank,Halkbank,ORG,-0.06666666666666667,0.25,en,3
NBC News',NBC News',ORG,-0.030555555555555558,0.041666666666666664,en,3
MAGURA,MAGURA,ORG,0.125,0.0,en,3
Shell,Shell,ORG,0.2708333333333333,0.2520833333333334,en,3
Philips,Philips,ORG,0.2708333333333333,0.2520833333333334,en,3
Selecao,Selecao,ORG,0.26666666666666666,0.5333333333333333,en,3
Anthropics,Anthropics,ORG,0.24722222222222223,0.5277777777777778,en,3
Parma,Parma,ORG,0.0,0.6666666666666666,en,3
the Wall Street Journal,the Wall Street Journal,ORG,0.075,0.08333333333333333,en,3
Aston Villa,Aston Villa,ORG,0.0,0.6666666666666666,en,3
ATEEZ,ATEEZ,ORG,0.10606060606060608,0.32575757575757575,en,3
Truth Social,Truth Social,ORG,0.1037037037037037,0.0925925925925926,en,3
Houthis,Houthis,ORG,0.04545454545454545,0.0,en,3
ODESA,ODESA,ORG,-0.025000000000000005,0.06666666666666667,en,3
US Air Force,US Air Force,ORG,-0.041666666666666664,0.05555555555555555,en,3
Champions League,Champions League,ORG,0.27777777777777773,0.21666666666666667,en,3
Communist Party,Communist Party,ORG,0.0,0.0,en,3
Islam,Islam,ORG,-0.16666666666666666,0.4666666666666666,en,3
DEM Party,DEM Party,ORG,0.09999999999999999,0.19999999999999998,en,3
Virgin Media,Virgin Media,ORG,-0.020833333333333332,0.14285714285714288,en,3
European Unions,European Unions,ORG,0.13863636363636364,0.15833333333333333,en,3
Papi Steak,Papi Steak,ORG,0.125,0.3333333333333333,en,3
Reform,Reform,ORG,0.18253968253968256,0.3333333333333333,en,3
The People's Bank of China,The People's Bank of China,ORG,0.08333333333333333,0.125,en,2
ge,ge,ORG,0.0,0.0,en,2
Galataport Istanbul,Galataport Istanbul,ORG,0.0,0.0,en,2
LPR,LPR,ORG,0.08333333333333333,0.125,en,2
Siemens Energy AG,Siemens Energy AG,ORG,0.06333333333333332,0.05500000000000001,en,2
Botafogo,Botafogo,ORG,0.0,0.0,en,2
Russian MOD,Russian MOD,ORG,0.08106060606060606,0.14242424242424243,en,2
Fed,Fed,ORG,0.08333333333333333,0.125,en,2
the Global Labor Organization,the Global Labor Organization,ORG,0.0,0.0,en,2
RussiaAP News Ukraine,RussiaAP News Ukraine,ORG,0.07333333333333333,0.11000000000000001,en,2
