,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Dammam,Dammam,GPE,0.05208333333333333,0.59375,en,2,,,,,,,,,,
Perth,Perth,GPE,-0.09226190476190475,0.37202380952380953,en,2,,,,,,,,,,
Cape Town,Cape Town,GPE,0.09375,0.2916666666666667,en,2,,,,,,,,,,
Qingdao,Qingdao,GPE,0.0,0.0,en,2,,,,,,,,,,
ST.,ST.,GPE,0.09034090909090908,0.2803030303030303,en,2,,,,,,,,,,
Sayan Mountains,Sayan Mountains,LOC,0.05625,0.16666666666666666,en,2,,,,,,,,,,
Kostiantynivka,Kostiantynivka,GPE,0.18000000000000002,0.6,en,2,,,,,,,,,,
Beylikdüzü Municipality,Beylikdüzü Municipality,GPE,-0.1,0.1,en,2,,,,,,,,,,
Baltic Sea,Baltic Sea,LOC,0.0,0.0,en,2,,,,,,,,,,
Estadio Azteca,Estadio Azteca,GPE,0.125,0.1875,en,2,,,,,,,,,,
G1MN,G1MN,GPE,0.06349206349206349,0.1353174603174603,en,2,,,,,,,,,,
Republic of Congo,Republic of Congo,GPE,0.0,0.0,en,2,,,,,,,,,,
the Main Antimony Zone,the Main Antimony Zone,LOC,0.16666666666666666,0.3333333333333333,en,2,,,,,,,,,,
ZNPP,ZNPP,GPE,0.029545454545454534,0.35833333333333334,en,2,,,,,,,,,,
Lugansk,Lugansk,GPE,-0.08333333333333334,0.33333333333333337,en,2,,,,,,,,,,
WARSAW,WARSAW,GPE,0.05952380952380953,0.3119047619047619,en,2,,,,,,,,,,
Shaoxing,Shaoxing,GPE,-0.010000000000000002,0.28500000000000003,en,2,,,,,,,,,,
Bosnia And Herzegovina,Bosnia And Herzegovina,GPE,0.0,0.025,en,2,,,,,,,,,,
Santa Clara,Santa Clara,GPE,0.0049999999999999906,0.3633333333333333,en,2,,,,,,,,,,
seoul,seoul,GPE,0.05357142857142857,0.3404761904761905,en,2,,,,,,,,,,
Colosseum,Colosseum,LOC,0.05833333333333333,0.29880952380952386,en,2,,,,,,,,,,
Nord,Nord,GPE,-0.325,0.35,en,2,,,,,,,,,,
Alaska,Alaska,GPE,0.0,0.0,en,2,,,,,,,,,,
Tianjin,Tianjin,GPE,0.4333333333333333,0.7333333333333333,en,2,,,,,,,,,,
TIANJIN,TIANJIN,GPE,0.4333333333333333,0.7333333333333333,en,2,,,,,,,,,,
Venice,Venice,GPE,0.0,0.0,en,2,,,,,,,,,,
Newark,Newark,GPE,0.0,0.0,en,2,,,,,,,,,,
Windsor,Windsor,GPE,0.0,0.28125,en,2,,,,,,,,,,
